record,code_region,Region,Annee,code_indicateur,Indicateur,code_type_uai,type_administration,code_sexe,Sexe,code_type_pers,type_personnel,etat_donnees,Valeur
35,53,Bretagne,2002,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,1,Chercheurs,definitif,3.0
36,53,Bretagne,2002,pers,Effectifs de R&D,4,Autres administrations,3,Non ventile,2,Soutien a la recherche,definitif,19.65
37,53,Bretagne,2003,dird,Depense interieure de R&D,4,Autres administrations,,,,,definitif,12.13
38,53,Bretagne,2003,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,1,Chercheurs,definitif,279.76
39,53,Bretagne,2003,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,2,Soutien a la recherche,definitif,168.73
40,53,Bretagne,2003,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,1,Chercheurs,definitif,25.8
41,53,Bretagne,2003,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,2,Soutien a la recherche,definitif,49.7
42,53,Bretagne,2004,dird,Depense interieure de R&D,1,Enseignement superieur,,,,,definitif,203.84
43,53,Bretagne,2004,pers,Effectifs de R&D,1,Enseignement superieur,2,Femmes,1,Chercheurs,definitif,2.0
44,53,Bretagne,2004,pers,Effectifs de R&D,2,EPST,1,Hommes,2,Soutien a la recherche,definitif,451.24
45,53,Bretagne,2004,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,2,Soutien a la recherche,definitif,173.81
46,53,Bretagne,2004,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,2,Soutien a la recherche,definitif,149.92
47,53,Bretagne,2004,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,2,Soutien a la recherche,definitif,37.2
48,53,Bretagne,2004,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,1,Chercheurs,definitif,27.3
49,53,Bretagne,2005,dird,Depense interieure de R&D,1,Enseignement superieur,,,,,definitif,203.45
50,53,Bretagne,2005,pers,Effectifs de R&D,1,Enseignement superieur,1,Hommes,1,Chercheurs,definitif,7.6
51,53,Bretagne,2005,pers,Effectifs de R&D,2,EPST,2,Femmes,2,Soutien a la recherche,definitif,558.54
52,53,Bretagne,2005,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,2,Soutien a la recherche,definitif,146.65
53,53,Bretagne,2005,pers,Effectifs de R&D,4,Autres administrations,3,Non ventile,1,Chercheurs,definitif,57.94
54,53,Bretagne,2005,pers,Effectifs de R&D,4,Autres administrations,3,Non ventile,2,Soutien a la recherche,definitif,16.69
55,53,Bretagne,2006,dird,Depense interieure de R&D,1,Enseignement superieur,,,,,definitif,208.38
56,53,Bretagne,2006,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,1,Chercheurs,definitif,39.75
57,53,Bretagne,2006,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,1,Chercheurs,definitif,36.4
58,53,Bretagne,2007,pers,Effectifs de R&D,1,Enseignement superieur,1,Hommes,1,Chercheurs,definitif,330.88
59,53,Bretagne,2007,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,1,Chercheurs,definitif,1633.1
60,53,Bretagne,2007,pers,Effectifs de R&D,2,EPST,1,Hommes,1,Chercheurs,definitif,719.72
61,53,Bretagne,2007,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,definitif,297.27
62,53,Bretagne,2007,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,1,Chercheurs,definitif,3.0
63,53,Bretagne,2007,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,1,Chercheurs,definitif,38.74
64,53,Bretagne,2007,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,1,Chercheurs,definitif,37.39
65,53,Bretagne,2008,dird,Depense interieure de R&D,1,Enseignement superieur,,,,,definitif,256.6
66,53,Bretagne,2008,dird,Depense interieure de R&D,2,EPST,,,,,definitif,126.98
67,53,Bretagne,2008,pers,Effectifs de R&D,1,Enseignement superieur,2,Femmes,1,Chercheurs,definitif,200.0
68,53,Bretagne,2008,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,1,Chercheurs,definitif,138.17
69,53,Bretagne,2008,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,2,Soutien a la recherche,definitif,64.52
70,53,Bretagne,2009,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,2,Soutien a la recherche,definitif,31.9
71,53,Bretagne,2009,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,2,Soutien a la recherche,definitif,60.45
72,53,Bretagne,2010,dird,Depense interieure de R&D,2,EPST,,,,,definitif,169.02
73,53,Bretagne,2010,dird,Depense interieure de R&D,4,Autres administrations,,,,,definitif,4.35
74,53,Bretagne,2010,pers,Effectifs de R&D,1,Enseignement superieur,1,Hommes,1,Chercheurs,definitif,202.55
75,53,Bretagne,2010,pers,Effectifs de R&D,2,EPST,2,Femmes,2,Soutien a la recherche,definitif,666.8
76,53,Bretagne,2010,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,1,Chercheurs,definitif,149.52
77,53,Bretagne,2010,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,1,Chercheurs,definitif,4.43
78,53,Bretagne,2010,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,2,Soutien a la recherche,definitif,0.71
79,53,Bretagne,2011,dird,Depense interieure de R&D,2,EPST,,,,,definitif,158.44
80,54,Poitou-Charentes,2005,pers,Effectifs de R&D,2,EPST,1,Hommes,1,Chercheurs,definitif,190.69
81,54,Poitou-Charentes,2005,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,1,Chercheurs,definitif,1.0
82,54,Poitou-Charentes,2006,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,1,Chercheurs,definitif,44.9
83,54,Poitou-Charentes,2006,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,1,Chercheurs,definitif,2.0
84,54,Poitou-Charentes,2006,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,2,Soutien a la recherche,definitif,8.5
85,54,Poitou-Charentes,2006,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,2,Soutien a la recherche,definitif,13.7
86,54,Poitou-Charentes,2007,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,2,Soutien a la recherche,definitif,372.5
87,54,Poitou-Charentes,2007,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,2,Soutien a la recherche,definitif,0.95
88,54,Poitou-Charentes,2007,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,1,Chercheurs,definitif,1.0
89,54,Poitou-Charentes,2008,dird,Depense interieure de R&D,2,EPST,,,,,definitif,46.42
90,54,Poitou-Charentes,2008,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,1,Chercheurs,definitif,13.0
91,54,Poitou-Charentes,2009,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,2,Soutien a la recherche,definitif,381.2
92,54,Poitou-Charentes,2009,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,1,Chercheurs,definitif,11.0
93,54,Poitou-Charentes,2010,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,2,Soutien a la recherche,definitif,22.31
94,54,Poitou-Charentes,2010,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,2,Soutien a la recherche,definitif,29.55
95,54,Poitou-Charentes,2011,dird,Depense interieure de R&D,3,EPIC et assimiles,,,,,definitif,1.04
96,54,Poitou-Charentes,2011,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,definitif,62.13
97,54,Poitou-Charentes,2011,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,1,Chercheurs,definitif,27.38
98,54,Poitou-Charentes,2011,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,2,Soutien a la recherche,definitif,0.4
99,54,Poitou-Charentes,2012,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,definitif,66.6
100,54,Poitou-Charentes,2012,pers,Effectifs de R&D,2,EPST,2,Femmes,2,Soutien a la recherche,definitif,161.66
101,7,Regions d'outre-mer,2011,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,2,Soutien a la recherche,definitif,13.33
102,7,Regions d'outre-mer,2011,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,2,Soutien a la recherche,definitif,5.0
103,7,Regions d'outre-mer,2012,dird,Depense interieure de R&D,2,EPST,,,,,definitif,42.73
104,7,Regions d'outre-mer,2012,dird,Depense interieure de R&D,4,Autres administrations,,,,,definitif,0.77
105,7,Regions d'outre-mer,2012,pers,Effectifs de R&D,2,EPST,2,Femmes,2,Soutien a la recherche,definitif,135.81
106,7,Regions d'outre-mer,2012,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,2,Soutien a la recherche,definitif,7.0
107,7,Regions d'outre-mer,2013,dird,Depense interieure de R&D,2,EPST,,,,,semi-definitif,41.45
108,7,Regions d'outre-mer,2013,pers,Effectifs de R&D,1,Enseignement superieur,2,Femmes,2,Soutien a la recherche,semi-definitif,1.56
109,11,Île-de-France,2001,dird,Depense interieure de R&D,3,EPIC et assimiles,,,,,definitif,1302.01
110,11,Île-de-France,2001,pers,Effectifs de R&D,1,Enseignement superieur,2,Femmes,2,Soutien a la recherche,definitif,106.6
111,11,Île-de-France,2001,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,1,Chercheurs,definitif,21.0
112,11,Île-de-France,2001,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,1,Chercheurs,definitif,641.18
113,11,Île-de-France,2002,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,definitif,3897.4
114,11,Île-de-France,2003,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,2,Soutien a la recherche,definitif,25.0
115,11,Île-de-France,2004,pers,Effectifs de R&D,1,Enseignement superieur,1,Hommes,1,Chercheurs,definitif,477.7
116,11,Île-de-France,2004,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,definitif,4133.48
117,11,Île-de-France,2004,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,2,Soutien a la recherche,definitif,1683.1
118,11,Île-de-France,2004,pers,Effectifs de R&D,4,Autres administrations,3,Non ventile,1,Chercheurs,definitif,578.86
119,11,Île-de-France,2005,pers,Effectifs de R&D,1,Enseignement superieur,2,Femmes,1,Chercheurs,definitif,127.32
120,11,Île-de-France,2005,pers,Effectifs de R&D,1,Enseignement superieur,2,Femmes,2,Soutien a la recherche,definitif,110.22
121,11,Île-de-France,2005,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,2,Soutien a la recherche,definitif,5701.95
122,11,Île-de-France,2005,pers,Effectifs de R&D,2,EPST,1,Hommes,1,Chercheurs,definitif,6447.34
123,11,Île-de-France,2005,pers,Effectifs de R&D,4,Autres administrations,3,Non ventile,2,Soutien a la recherche,definitif,115.89
124,11,Île-de-France,2006,pers,Effectifs de R&D,1,Enseignement superieur,1,Hommes,1,Chercheurs,definitif,2800.98
125,11,Île-de-France,2006,pers,Effectifs de R&D,1,Enseignement superieur,2,Femmes,2,Soutien a la recherche,definitif,191.16
126,11,Île-de-France,2006,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,1,Chercheurs,definitif,10141.95
127,11,Île-de-France,2006,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,2,Soutien a la recherche,definitif,5677.9
128,11,Île-de-France,2006,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,1,Chercheurs,definitif,3819.27
129,11,Île-de-France,2006,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,1,Chercheurs,definitif,586.87
130,11,Île-de-France,2007,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,2,Soutien a la recherche,definitif,1541.45
131,11,Île-de-France,2007,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,1,Chercheurs,definitif,658.6
132,11,Île-de-France,2008,dird,Depense interieure de R&D,4,Autres administrations,,,,,definitif,375.95
133,11,Île-de-France,2008,pers,Effectifs de R&D,1,Enseignement superieur,1,Hommes,2,Soutien a la recherche,definitif,215.2
134,11,Île-de-France,2008,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,1,Chercheurs,definitif,10407.0
135,11,Île-de-France,2008,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,2,Soutien a la recherche,definitif,6426.4
136,11,Île-de-France,2008,pers,Effectifs de R&D,2,EPST,2,Femmes,2,Soutien a la recherche,definitif,6311.08
137,11,Île-de-France,2008,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,1,Chercheurs,definitif,629.27
138,11,Île-de-France,2008,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,2,Soutien a la recherche,definitif,1117.65
139,11,Île-de-France,2009,pers,Effectifs de R&D,1,Enseignement superieur,1,Hommes,1,Chercheurs,definitif,793.7
140,11,Île-de-France,2009,pers,Effectifs de R&D,1,Enseignement superieur,2,Femmes,2,Soutien a la recherche,definitif,358.63
141,11,Île-de-France,2009,pers,Effectifs de R&D,2,EPST,1,Hommes,2,Soutien a la recherche,definitif,3864.2
142,11,Île-de-France,2009,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,2,Soutien a la recherche,definitif,1762.95
143,11,Île-de-France,2009,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,2,Soutien a la recherche,definitif,1540.75
144,11,Île-de-France,2009,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,2,Soutien a la recherche,definitif,538.03
145,11,Île-de-France,2010,dird,Depense interieure de R&D,3,EPIC et assimiles,,,,,definitif,1408.61
146,11,Île-de-France,2010,pers,Effectifs de R&D,2,EPST,2,Femmes,2,Soutien a la recherche,definitif,6188.11
147,11,Île-de-France,2010,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,1,Chercheurs,definitif,616.09
148,11,Île-de-France,2011,dird,Depense interieure de R&D,2,EPST,,,,,definitif,2521.92
149,11,Île-de-France,2011,dird,Depense interieure de R&D,3,EPIC et assimiles,,,,,definitif,1295.36
150,11,Île-de-France,2011,pers,Effectifs de R&D,1,Enseignement superieur,1,Hommes,2,Soutien a la recherche,definitif,299.5
151,11,Île-de-France,2011,pers,Effectifs de R&D,2,EPST,1,Hommes,2,Soutien a la recherche,definitif,3951.58
152,11,Île-de-France,2011,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,2,Soutien a la recherche,definitif,991.49
153,11,Île-de-France,2012,dird,Depense interieure de R&D,3,EPIC et assimiles,,,,,definitif,1236.31
154,11,Île-de-France,2012,pers,Effectifs de R&D,2,EPST,2,Femmes,2,Soutien a la recherche,definitif,5823.76
155,11,Île-de-France,2012,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,2,Soutien a la recherche,definitif,1569.55
156,11,Île-de-France,2012,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,1,Chercheurs,definitif,1813.36
157,11,Île-de-France,2012,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,2,Soutien a la recherche,definitif,490.53
158,11,Île-de-France,2013,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,2,Soutien a la recherche,semi-definitif,6318.73
159,21,Champagne-Ardenne,2002,dird,Depense interieure de R&D,3,EPIC et assimiles,,,,,definitif,0.3
160,21,Champagne-Ardenne,2002,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,1,Chercheurs,definitif,599.39
161,21,Champagne-Ardenne,2002,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,2,Soutien a la recherche,definitif,201.82
162,21,Champagne-Ardenne,2002,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,2,Soutien a la recherche,definitif,6.8
163,21,Champagne-Ardenne,2003,pers,Effectifs de R&D,2,EPST,1,Hommes,2,Soutien a la recherche,definitif,10.5
164,21,Champagne-Ardenne,2003,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,definitif,8.9
165,21,Champagne-Ardenne,2003,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,1,Chercheurs,definitif,1.0
166,21,Champagne-Ardenne,2004,dird,Depense interieure de R&D,2,EPST,,,,,definitif,4.16
167,21,Champagne-Ardenne,2004,dird,Depense interieure de R&D,4,Autres administrations,,,,,definitif,0.44
168,21,Champagne-Ardenne,2004,pers,Effectifs de R&D,2,EPST,1,Hommes,1,Chercheurs,definitif,32.5
169,21,Champagne-Ardenne,2004,pers,Effectifs de R&D,2,EPST,1,Hommes,2,Soutien a la recherche,definitif,9.5
170,21,Champagne-Ardenne,2004,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,2,Soutien a la recherche,definitif,0.95
171,21,Champagne-Ardenne,2004,pers,Effectifs de R&D,4,Autres administrations,3,Non ventile,1,Chercheurs,definitif,5.66
172,21,Champagne-Ardenne,2005,dird,Depense interieure de R&D,4,Autres administrations,,,,,definitif,0.44
173,21,Champagne-Ardenne,2005,pers,Effectifs de R&D,2,EPST,1,Hommes,2,Soutien a la recherche,definitif,9.5
174,21,Champagne-Ardenne,2005,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,1,Chercheurs,definitif,3.0
175,21,Champagne-Ardenne,2006,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,2,Soutien a la recherche,definitif,224.92
176,21,Champagne-Ardenne,2006,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,2,Soutien a la recherche,definitif,0.95
177,21,Champagne-Ardenne,2007,dird,Depense interieure de R&D,3,EPIC et assimiles,,,,,definitif,0.5
178,21,Champagne-Ardenne,2007,pers,Effectifs de R&D,2,EPST,2,Femmes,2,Soutien a la recherche,definitif,21.23
179,21,Champagne-Ardenne,2007,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,1,Chercheurs,definitif,2.0
180,21,Champagne-Ardenne,2007,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,2,Soutien a la recherche,definitif,2.98
181,21,Champagne-Ardenne,2008,pers,Effectifs de R&D,1,Enseignement superieur,1,Hommes,1,Chercheurs,definitif,28.0
182,21,Champagne-Ardenne,2008,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,1,Chercheurs,definitif,3.0
183,21,Champagne-Ardenne,2008,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,1,Chercheurs,definitif,1.0
184,21,Champagne-Ardenne,2008,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,2,Soutien a la recherche,definitif,0.95
185,21,Champagne-Ardenne,2008,pers,Effectifs de R&D,4,Autres administrations,3,Non ventile,1,Chercheurs,definitif,5.22
186,22,Picardie,2007,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,2,Soutien a la recherche,definitif,19.22
187,22,Picardie,2008,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,2,Soutien a la recherche,definitif,0.95
188,22,Picardie,2008,pers,Effectifs de R&D,4,Autres administrations,2,Femmes,2,Soutien a la recherche,definitif,21.97
189,22,Picardie,2010,dird,Depense interieure de R&D,3,EPIC et assimiles,,,,,definitif,14.45
190,22,Picardie,2010,pers,Effectifs de R&D,1,Enseignement superieur,2,Femmes,2,Soutien a la recherche,definitif,14.28
191,22,Picardie,2010,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,1,Chercheurs,definitif,670.52
192,22,Picardie,2010,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,1,Chercheurs,definitif,98.0
193,22,Picardie,2010,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,2,Soutien a la recherche,definitif,33.0
194,22,Picardie,2011,dird,Depense interieure de R&D,3,EPIC et assimiles,,,,,definitif,15.89
195,22,Picardie,2011,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,2,Soutien a la recherche,definitif,296.8
196,22,Picardie,2012,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,1,Chercheurs,definitif,742.06
197,22,Picardie,2012,pers,Effectifs de R&D,2,EPST,1,Hommes,2,Soutien a la recherche,definitif,42.5
198,22,Picardie,2012,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,definitif,32.8
199,23,Haute-Normandie,2001,pers,Effectifs de R&D,4,Autres administrations,3,Non ventile,2,Soutien a la recherche,definitif,26.1
200,23,Haute-Normandie,2002,pers,Effectifs de R&D,2,EPST,1,Hommes,1,Chercheurs,definitif,72.0
201,25,Basse-Normandie,2011,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,definitif,75.3
202,25,Basse-Normandie,2011,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,1,Chercheurs,definitif,85.4
203,25,Basse-Normandie,2012,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,1,Chercheurs,definitif,79.8
204,25,Basse-Normandie,2012,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,1,Chercheurs,definitif,26.53
205,25,Basse-Normandie,2012,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,2,Soutien a la recherche,definitif,1.17
206,25,Basse-Normandie,2013,dird,Depense interieure de R&D,4,Autres administrations,,,,,semi-definitif,0.09
207,25,Basse-Normandie,2013,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,2,Soutien a la recherche,semi-definitif,372.99
208,25,Basse-Normandie,2013,pers,Effectifs de R&D,2,EPST,1,Hommes,1,Chercheurs,semi-definitif,185.9
209,26,Bourgogne,2001,dird,Depense interieure de R&D,3,EPIC et assimiles,,,,,definitif,3.08
210,26,Bourgogne,2001,dird,Depense interieure de R&D,4,Autres administrations,,,,,definitif,2.16
211,26,Bourgogne,2001,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,definitif,72.9
212,26,Bourgogne,2001,pers,Effectifs de R&D,4,Autres administrations,1,Hommes,2,Soutien a la recherche,definitif,6.6
213,26,Bourgogne,2001,pers,Effectifs de R&D,4,Autres administrations,3,Non ventile,1,Chercheurs,definitif,21.2
214,26,Bourgogne,2002,dird,Depense interieure de R&D,2,EPST,,,,,definitif,33.44
215,26,Bourgogne,2002,dird,Depense interieure de R&D,3,EPIC et assimiles,,,,,definitif,1.18
216,26,Bourgogne,2002,dird,Depense interieure de R&D,4,Autres administrations,,,,,definitif,2.42
217,26,Bourgogne,2002,pers,Effectifs de R&D,3,EPIC et assimiles,2,Femmes,2,Soutien a la recherche,definitif,5.0
218,26,Bourgogne,2002,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,2,Soutien a la recherche,definitif,1.39
219,26,Bourgogne,2002,pers,Effectifs de R&D,4,Autres administrations,3,Non ventile,2,Soutien a la recherche,definitif,24.64
220,26,Bourgogne,2003,pers,Effectifs de R&D,3,EPIC et assimiles,3,Non ventile,1,Chercheurs,definitif,2.0
221,26,Bourgogne,2004,dird,Depense interieure de R&D,4,Autres administrations,,,,,definitif,2.31
222,26,Bourgogne,2004,pers,Effectifs de R&D,2,EPST,2,Femmes,1,Chercheurs,definitif,87.64
223,26,Bourgogne,2004,pers,Effectifs de R&D,2,EPST,2,Femmes,2,Soutien a la recherche,definitif,209.39
224,26,Bourgogne,2004,pers,Effectifs de R&D,3,EPIC et assimiles,1,Hommes,1,Chercheurs,definitif,3.0
225,26,Bourgogne,2005,dird,Depense interieure de R&D,3,EPIC et assimiles,,,,,definitif,0.5
226,26,Bourgogne,2005,pers,Effectifs de R&D,1,Enseignement superieur,3,Non ventile,1,Chercheurs,definitif,780.23
