rentree;Rentree universitaire;niv_geo;reg_nom;regroupement;rgp_formations_ou_etablissements;secteur;secteur_de_l_etablissemen;sexe;sexe_de_l_etudiant;Nombre total d’étudiants inscrits;A des effectifs en formations de DUT;Nombre d’étudiants inscrits en DUT;A des effectifs en formations d'ingénieurs;Nombre d’étudiants inscrits dans les formations d’Ingénieur;diffusable;Données diffusables;secret;Données soumises au secret statistique;niveau_geo;Identifiant de l’unité géographique;Identifiant de la région;Identifiant de l'académie;Identifiant du département;Identifiant de l'unité urbaine
2001;2001-02;Région;Auvergne-Rhône-Alpes;INP;Instituts nationaux polytechniques (INP);PU;Établissements publics;1;Masculin;3654.0;non;;oui;2682.0;oui;Données diffusables;non;Autres données;REGION;R84;R84;;;
2001;2001-02;Région;Auvergne-Rhône-Alpes;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;1;Masculin;4307.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R84;R84;;;
2001;2001-02;Région;Auvergne-Rhône-Alpes;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;8524.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R84;R84;;;
2001;2001-02;Région;Auvergne-Rhône-Alpes;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;14768.0;non;;oui;1599.0;oui;Données diffusables;non;Autres données;REGION;R84;R84;;;
2001;2001-02;Région;Auvergne-Rhône-Alpes;UNIV;Universités;PU;Établissements publics;1;Masculin;70961.0;oui;10171;oui;2190.0;oui;Données diffusables;non;Autres données;REGION;R84;R84;;;
2001;2001-02;Région;Provence-Alpes-Côte d'Azur;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;1;Masculin;2590.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R93;R93;;;
2001;2001-02;Région;Provence-Alpes-Côte d'Azur;CPGE;Classes préparatoires aux grandes écoles (CPGE);PR;Établissements privés;2;Feminin;204.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R93;R93;;;
2001;2001-02;Région;Provence-Alpes-Côte d'Azur;EC_JUR;Écoles juridiques et administratives;PU;Établissements publics;2;Feminin;7.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R93;R93;;;
2001;2001-02;Région;Provence-Alpes-Côte d'Azur;ING_autres;Autres formations d'ingénieurs;PU;Établissements publics;2;Feminin;65.0;non;;oui;65.0;oui;Données diffusables;non;Autres données;REGION;R93;R93;;;
2001;2001-02;Région;Provence-Alpes-Côte d'Azur;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;5336.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R93;R93;;;
2001;2001-02;Région;Provence-Alpes-Côte d'Azur;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;60163.0;oui;4712;oui;2727.0;oui;Données diffusables;non;Autres données;REGION;R93;R93;;;
2001;2001-02;Région;Provence-Alpes-Côte d'Azur;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;76233.0;oui;3145;oui;683.0;oui;Données diffusables;non;Autres données;REGION;R93;R93;;;
2001;2001-02;Région;Corse;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;2;Feminin;232.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R94;R94;;;
2001;2001-02;Région;Corse;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;267.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R94;R94;;;
2001;2001-02;Région;Corse;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;1;Masculin;15.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R94;R94;;;
2001;2001-02;Région;Corse;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;2;Feminin;21.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R94;R94;;;
2001;2001-02;Région;Corse;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;61.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R94;R94;;;
2001;2001-02;Région;;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;49.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R99;R99;;;
2001;2001-02;Région;;UNIV;Universités;PU;Établissements publics;2;Feminin;41.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R99;R99;;;
2001;2001-02;Région;Nouvelle-Calédonie, Polynésie française, Saint-Martin;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;2;Feminin;46.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R00;R00;;;
2001;2001-02;Région;Nouvelle-Calédonie, Polynésie française, Saint-Martin;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;358.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R00;R00;;;
2001;2001-02;Région;Nouvelle-Calédonie, Polynésie française, Saint-Martin;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;2;Feminin;36.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R00;R00;;;
2001;2001-02;Région;Guadeloupe;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;2;Feminin;74.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R01;R01;;;
2001;2001-02;Région;Guadeloupe;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;1;Masculin;19.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R01;R01;;;
2001;2001-02;Région;Guadeloupe;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;1;Masculin;137.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R01;R01;;;
2001;2001-02;Région;Guadeloupe;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;154.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R01;R01;;;
2001;2001-02;Région;Guadeloupe;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;4009.0;oui;61;non;;oui;Données diffusables;non;Autres données;REGION;R01;R01;;;
2001;2001-02;Région;Guadeloupe;UNIV;Universités;PU;Établissements publics;1;Masculin;2047.0;oui;22;non;;oui;Données diffusables;non;Autres données;REGION;R01;R01;;;
2001;2001-02;Région;Martinique;EC_autres;Autres écoles de spécialités diverses;PR;Établissements privés;1;Masculin;12.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R02;R02;;;
2001;2001-02;Région;Martinique;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;550.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R02;R02;;;
2001;2001-02;Région;Martinique;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;476.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R02;R02;;;
2001;2001-02;Région;Martinique;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;4857.0;oui;13;non;;oui;Données diffusables;non;Autres données;REGION;R02;R02;;;
2001;2001-02;Région;Guyane;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;198.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R03;R03;;;
2001;2001-02;Région;La Réunion;EC_ART;Écoles supérieures art et culture;PR;Établissements privés;1;Masculin;38.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R04;R04;;;
2001;2001-02;Région;La Réunion;EC_PARAM;Écoles paramédicales et sociales;PR;Établissements privés;2;Feminin;304.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R04;R04;;;
2001;2001-02;Région;La Réunion;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;530.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R04;R04;;;
2001;2001-02;Région;La Réunion;UNIV;Universités;PU;Établissements publics;2;Feminin;6292.0;oui;102;non;;oui;Données diffusables;non;Autres données;REGION;R04;R04;;;
2001;2001-02;Région;Île-de-France;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;2;Feminin;8124.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R11;R11;;;
2001;2001-02;Région;Île-de-France;EC_JUR;Écoles juridiques et administratives;PR;Établissements privés;2;Feminin;1125.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R11;R11;;;
2001;2001-02;Région;Île-de-France;EC_JUR;Écoles juridiques et administratives;PU;Établissements publics;2;Feminin;822.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R11;R11;;;
2001;2001-02;Région;Île-de-France;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;1;Masculin;5947.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R11;R11;;;
2001;2001-02;Région;Île-de-France;ENS;Écoles normales supérieures (ENS);PU;Établissements publics;2;Feminin;622.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R11;R11;;;
2001;2001-02;Région;Île-de-France;EPEU;Etablissements d'enseignement universitaire privés;PR;Établissements privés;1;Masculin;1633.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R11;R11;;;
2001;2001-02;Région;Île-de-France;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;15838.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R11;R11;;;
2001;2001-02;Région;Île-de-France;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;204004.0;oui;10106;oui;9998.0;oui;Données diffusables;non;Autres données;REGION;R11;R11;;;
2001;2001-02;Région;Centre-Val de Loire;EC_ART;Écoles supérieures art et culture;PR;Établissements privés;1;Masculin;59.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R24;R24;;;
2001;2001-02;Région;Centre-Val de Loire;EC_JUR;Écoles juridiques et administratives;PR;Établissements privés;2;Feminin;25.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R24;R24;;;
2001;2001-02;Région;Centre-Val de Loire;EC_PARAM;Écoles paramédicales et sociales;PR;Établissements privés;2;Feminin;1780.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R24;R24;;;
2001;2001-02;Région;Centre-Val de Loire;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;2;Feminin;2186.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R24;R24;;;
2001;2001-02;Région;Centre-Val de Loire;ING_autres;Autres formations d'ingénieurs;PU;Établissements publics;2;Feminin;205.0;non;;oui;205.0;oui;Données diffusables;non;Autres données;REGION;R24;R24;;;
2001;2001-02;Région;Centre-Val de Loire;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;3388.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R24;R24;;;
2001;2001-02;Région;Centre-Val de Loire;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;22671.0;oui;2833;oui;1546.0;oui;Données diffusables;non;Autres données;REGION;R24;R24;;;
2001;2001-02;Région;Centre-Val de Loire;UNIV;Universités;PU;Établissements publics;1;Masculin;15804.0;oui;2833;oui;986.0;oui;Données diffusables;non;Autres données;REGION;R24;R24;;;
2001;2001-02;Région;Bourgogne-Franche-Comté;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;2;Feminin;1232.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R27;R27;;;
2001;2001-02;Région;Bourgogne-Franche-Comté;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;1;Masculin;760.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R27;R27;;;
2001;2001-02;Région;Bourgogne-Franche-Comté;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;4702.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R27;R27;;;
2001;2001-02;Région;Bourgogne-Franche-Comté;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;3859.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R27;R27;;;
2001;2001-02;Région;Bourgogne-Franche-Comté;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;3499.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R27;R27;;;
2001;2001-02;Région;Normandie;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;1;Masculin;1290.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R28;R28;;;
2001;2001-02;Région;Normandie;EC_COM;Ecoles de commerce, gestion et comptabilité;PR;Établissements privés;2;Feminin;1357.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R28;R28;;;
2001;2001-02;Région;Normandie;EC_JUR;Écoles juridiques et administratives;PU;Établissements publics;2;Feminin;2.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R28;R28;;;
2001;2001-02;Région;Normandie;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;1;Masculin;492.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R28;R28;;;
2001;2001-02;Région;Normandie;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;3850.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R28;R28;;;
2001;2001-02;Région;Hauts-de-France;CPGE;Classes préparatoires aux grandes écoles (CPGE);PR;Établissements privés;1;Masculin;1011.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R32;R32;;;
2001;2001-02;Région;Hauts-de-France;EC_JUR;Écoles juridiques et administratives;PU;Établissements publics;2;Feminin;53.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R32;R32;;;
2001;2001-02;Région;Hauts-de-France;EPEU;Etablissements d'enseignement universitaire privés;PR;Établissements privés;1;Masculin;1549.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R32;R32;;;
2001;2001-02;Région;Hauts-de-France;ING_autres;Autres formations d'ingénieurs;PR;Établissements privés;2;Feminin;749.0;non;;oui;749.0;oui;Données diffusables;non;Autres données;REGION;R32;R32;;;
2001;2001-02;Région;Hauts-de-France;UNIV;Universités;PU;Établissements publics;2;Feminin;60848.0;oui;4459;oui;507.0;oui;Données diffusables;non;Autres données;REGION;R32;R32;;;
2001;2001-02;Région;Hauts-de-France;UT;Universités de technologie (UT);PU;Établissements publics;2;Feminin;958.0;non;;oui;567.0;oui;Données diffusables;non;Autres données;REGION;R32;R32;;;
2001;2001-02;Région;Grand Est;EC_ART;Écoles supérieures art et culture;PU;Établissements publics;1;Masculin;1135.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R44;R44;;;
2001;2001-02;Région;Grand Est;EC_COM;Ecoles de commerce, gestion et comptabilité;PR;Établissements privés;1;Masculin;2324.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R44;R44;;;
2001;2001-02;Région;Grand Est;EC_JUR;Écoles juridiques et administratives;PU;Établissements publics;1;Masculin;528.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R44;R44;;;
2001;2001-02;Région;Grand Est;EC_JUR;Écoles juridiques et administratives;PU;Établissements publics;2;Feminin;243.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R44;R44;;;
2001;2001-02;Région;Grand Est;ING_autres;Autres formations d'ingénieurs;PU;Établissements publics;1;Masculin;3140.0;non;;oui;3140.0;oui;Données diffusables;non;Autres données;REGION;R44;R44;;;
2001;2001-02;Région;Grand Est;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;75847.0;oui;7594;oui;7383.0;oui;Données diffusables;non;Autres données;REGION;R44;R44;;;
2001;2001-02;Région;Grand Est;UNIV;Universités;PU;Établissements publics;2;Feminin;62377.0;oui;5307;oui;657.0;oui;Données diffusables;non;Autres données;REGION;R44;R44;;;
2001;2001-02;Région;Grand Est;UT;Universités de technologie (UT);PU;Établissements publics;2;Feminin;346.0;non;;oui;146.0;oui;Données diffusables;non;Autres données;REGION;R44;R44;;;
2001;2001-02;Région;Pays de la Loire;CPGE;Classes préparatoires aux grandes écoles (CPGE);PR;Établissements privés;1;Masculin;783.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R52;R52;;;
2001;2001-02;Région;Pays de la Loire;EC_JUR;Écoles juridiques et administratives;PR;Établissements privés;2;Feminin;109.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R52;R52;;;
2001;2001-02;Région;Pays de la Loire;EC_PARAM;Écoles paramédicales et sociales;PR;Établissements privés;1;Masculin;369.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R52;R52;;;
2001;2001-02;Région;Pays de la Loire;EC_autres;Autres écoles de spécialités diverses;PR;Établissements privés;1;Masculin;701.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R52;R52;;;
2001;2001-02;Région;Pays de la Loire;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;2;Feminin;1526.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R52;R52;;;
2001;2001-02;Région;Pays de la Loire;ING_autres;Autres formations d'ingénieurs;PR;Établissements privés;2;Feminin;353.0;non;;oui;353.0;oui;Données diffusables;non;Autres données;REGION;R52;R52;;;
2001;2001-02;Région;Pays de la Loire;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;11945.0;non;;oui;1824.0;oui;Données diffusables;non;Autres données;REGION;R52;R52;;;
2001;2001-02;Région;Bretagne;EC_ART;Écoles supérieures art et culture;PR;Établissements privés;2;Feminin;241.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R53;R53;;;
2001;2001-02;Région;Bretagne;EC_JUR;Écoles juridiques et administratives;PU;Établissements publics;1;Masculin;743.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R53;R53;;;
2001;2001-02;Région;Bretagne;EC_JUR;Écoles juridiques et administratives;PU;Établissements publics;2;Feminin;159.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R53;R53;;;
2006;2006-07;Région;Nouvelle-Calédonie, Polynésie française, Saint-Martin;EC_COM;Ecoles de commerce, gestion et comptabilité;PR;Établissements privés;1;Masculin;35.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R00;R00;;;
2006;2006-07;Région;Nouvelle-Calédonie, Polynésie française, Saint-Martin;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;1;Masculin;170.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R00;R00;;;
2006;2006-07;Région;Nouvelle-Calédonie, Polynésie française, Saint-Martin;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;116.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R00;R00;;;
2006;2006-07;Région;Guadeloupe;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;2;Feminin;356.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R01;R01;;;
2006;2006-07;Région;Guadeloupe;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;1;Masculin;162.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R01;R01;;;
2006;2006-07;Région;Guadeloupe;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;1;Masculin;206.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R01;R01;;;
2006;2006-07;Région;Guadeloupe;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;627.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R01;R01;;;
2006;2006-07;Région;Guadeloupe;UNIV;Universités;PU;Établissements publics;1;Masculin;1919.0;oui;35;non;;oui;Données diffusables;non;Autres données;REGION;R01;R01;;;
2006;2006-07;Région;Martinique;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;2;Feminin;189.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R02;R02;;;
2006;2006-07;Région;Martinique;EC_COM;Ecoles de commerce, gestion et comptabilité;PR;Établissements privés;1;Masculin;41.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R02;R02;;;
2006;2006-07;Région;Martinique;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;2;Feminin;239.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R02;R02;;;
2006;2006-07;Région;Martinique;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;624.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R02;R02;;;
2006;2006-07;Région;Guyane;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;2;Feminin;331.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R03;R03;;;
2006;2006-07;Région;Guyane;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;121.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R03;R03;;;
2006;2006-07;Région;La Réunion;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;1;Masculin;221.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R04;R04;;;
2006;2006-07;Région;La Réunion;EC_PARAM;Écoles paramédicales et sociales;PR;Établissements privés;1;Masculin;161.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R04;R04;;;
2006;2006-07;Région;La Réunion;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;1269.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R04;R04;;;
2006;2006-07;Région;La Réunion;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;9719.0;oui;201;oui;19.0;oui;Données diffusables;non;Autres données;REGION;R04;R04;;;
2006;2006-07;Région;Île-de-France;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;1;Masculin;10725.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R11;R11;;;
2006;2006-07;Région;Île-de-France;CPGE;Classes préparatoires aux grandes écoles (CPGE);PR;Établissements privés;1;Masculin;2638.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R11;R11;;;
2006;2006-07;Région;Île-de-France;EC_ART;Écoles supérieures art et culture;PU;Établissements publics;1;Masculin;6416.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R11;R11;;;
2006;2006-07;Région;Île-de-France;EC_COM;Ecoles de commerce, gestion et comptabilité;PU;Établissements publics;1;Masculin;389.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R11;R11;;;
2006;2006-07;Région;Île-de-France;EC_JUR;Écoles juridiques et administratives;PR;Établissements privés;2;Feminin;1290.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R11;R11;;;
2006;2006-07;Région;Île-de-France;EC_JUR;Écoles juridiques et administratives;PU;Établissements publics;2;Feminin;620.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R11;R11;;;
2006;2006-07;Région;Île-de-France;EC_PARAM;Écoles paramédicales et sociales;PR;Établissements privés;1;Masculin;2354.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R11;R11;;;
2006;2006-07;Région;Île-de-France;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;2;Feminin;11750.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R11;R11;;;
2006;2006-07;Région;Île-de-France;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;1;Masculin;5350.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R11;R11;;;
2006;2006-07;Région;Île-de-France;ENS;Écoles normales supérieures (ENS);PU;Établissements publics;1;Masculin;1371.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R11;R11;;;
2006;2006-07;Région;Île-de-France;GE;Grands établissements MENESR;PU;Établissements publics;2;Feminin;15014.0;non;;oui;209.0;oui;Données diffusables;non;Autres données;REGION;R11;R11;;;
2006;2006-07;Région;Île-de-France;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;1;Masculin;4791.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R11;R11;;;
2006;2006-07;Région;Île-de-France;UNIV;Universités;PU;Établissements publics;2;Feminin;203629.0;oui;6880;oui;456.0;oui;Données diffusables;non;Autres données;REGION;R11;R11;;;
2006;2006-07;Région;Centre-Val de Loire;CPGE;Classes préparatoires aux grandes écoles (CPGE);PR;Établissements privés;1;Masculin;26.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R24;R24;;;
2006;2006-07;Région;Centre-Val de Loire;EC_JUR;Écoles juridiques et administratives;PR;Établissements privés;1;Masculin;13.0;non;;non;;oui;Données diffusables;non;Autres données;REGION;R24;R24;;;
